GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Total: - Management, business, science, and arts occupations:"
HD02_VD02,"Margin of Error; Total: - Management, business, science, and arts occupations:"
HD01_VD03,"Estimate; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HD02_VD03,"Margin of Error; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HD01_VD04,"Estimate; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HD02_VD04,"Margin of Error; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HD01_VD05,"Estimate; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HD02_VD05,"Margin of Error; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HD01_VD06,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HD02_VD06,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HD01_VD07,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HD02_VD07,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HD01_VD08,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HD02_VD08,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HD01_VD09,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HD02_VD09,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HD01_VD10,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HD02_VD10,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HD01_VD11,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations"
HD02_VD11,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations"
HD01_VD12,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HD02_VD12,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HD01_VD13,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HD02_VD13,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HD01_VD14,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HD02_VD14,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HD01_VD15,"Estimate; Total: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:"
HD02_VD15,"Margin of Error; Total: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:"
HD01_VD16,"Estimate; Total: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HD02_VD16,"Margin of Error; Total: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HD01_VD17,"Estimate; Total: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians"
HD02_VD17,"Margin of Error; Total: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians"
HD01_VD18,Estimate; Total: - Service occupations:
HD02_VD18,Margin of Error; Total: - Service occupations:
HD01_VD19,Estimate; Total: - Service occupations: - Healthcare support occupations
HD02_VD19,Margin of Error; Total: - Service occupations: - Healthcare support occupations
HD01_VD20,Estimate; Total: - Service occupations: - Protective service occupations:
HD02_VD20,Margin of Error; Total: - Service occupations: - Protective service occupations:
HD01_VD21,"Estimate; Total: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors"
HD02_VD21,"Margin of Error; Total: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors"
HD01_VD22,Estimate; Total: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors
HD02_VD22,Margin of Error; Total: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors
HD01_VD23,Estimate; Total: - Service occupations: - Food preparation and serving related occupations
HD02_VD23,Margin of Error; Total: - Service occupations: - Food preparation and serving related occupations
HD01_VD24,Estimate; Total: - Service occupations: - Building and grounds cleaning and maintenance occupations
HD02_VD24,Margin of Error; Total: - Service occupations: - Building and grounds cleaning and maintenance occupations
HD01_VD25,Estimate; Total: - Service occupations: - Personal care and service occupations
HD02_VD25,Margin of Error; Total: - Service occupations: - Personal care and service occupations
HD01_VD26,Estimate; Total: - Sales and office occupations:
HD02_VD26,Margin of Error; Total: - Sales and office occupations:
HD01_VD27,Estimate; Total: - Sales and office occupations: - Sales and related occupations
HD02_VD27,Margin of Error; Total: - Sales and office occupations: - Sales and related occupations
HD01_VD28,Estimate; Total: - Sales and office occupations: - Office and administrative support occupations
HD02_VD28,Margin of Error; Total: - Sales and office occupations: - Office and administrative support occupations
HD01_VD29,"Estimate; Total: - Natural resources, construction, and maintenance occupations:"
HD02_VD29,"Margin of Error; Total: - Natural resources, construction, and maintenance occupations:"
HD01_VD30,"Estimate; Total: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations"
HD02_VD30,"Margin of Error; Total: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations"
HD01_VD31,"Estimate; Total: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations"
HD02_VD31,"Margin of Error; Total: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations"
HD01_VD32,"Estimate; Total: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations"
HD02_VD32,"Margin of Error; Total: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations"
HD01_VD33,"Estimate; Total: - Production, transportation, and material moving occupations:"
HD02_VD33,"Margin of Error; Total: - Production, transportation, and material moving occupations:"
HD01_VD34,"Estimate; Total: - Production, transportation, and material moving occupations: - Production occupations"
HD02_VD34,"Margin of Error; Total: - Production, transportation, and material moving occupations: - Production occupations"
HD01_VD35,"Estimate; Total: - Production, transportation, and material moving occupations: - Transportation occupations"
HD02_VD35,"Margin of Error; Total: - Production, transportation, and material moving occupations: - Transportation occupations"
HD01_VD36,"Estimate; Total: - Production, transportation, and material moving occupations: - Material moving occupations"
HD02_VD36,"Margin of Error; Total: - Production, transportation, and material moving occupations: - Material moving occupations"
